0.000000000 4.62942e-21 app:body:zebracorn_labs,t:0:err=2.50971e-26 app:tag:2,t:0:err=4.06341e-21 app:cam:cam0,t:0:err=5.65991e-22
175.345738838 81.8443 rpp:cam:cam0,t:175345:err=0.00268377 proj:cam0-tag:2,t:175345:err=2.50463 proj:cam0-tag:8,t:175345:err=56.0564 proj:cam0-tag:14,t:175345:err=3.25149 rpp:cam:cam1,t:175345:err=2.76333e-05 proj:cam1-tag:4,t:175345:err=1.33349 rpp:cam:cam2,t:175345:err=0.00238594 proj:cam2-tag:8,t:175345:err=8.47351 proj:cam2-tag:12,t:175345:err=9.96113 rpp:cam:cam3,t:175345:err=0.000131045 proj:cam3-tag:1,t:175345:err=0.258384
175.362341927 81.6045 rpp:cam:cam0,t:175362:err=0.00277454 proj:cam0-tag:2,t:175362:err=2.41209 proj:cam0-tag:8,t:175362:err=55.5373 proj:cam0-tag:14,t:175362:err=3.22404 rpp:cam:cam1,t:175362:err=2.92088e-05 proj:cam1-tag:4,t:175362:err=1.32804 rpp:cam:cam2,t:175362:err=0.00241612 proj:cam2-tag:8,t:175362:err=8.95889 proj:cam2-tag:12,t:175362:err=9.87329 rpp:cam:cam3,t:175362:err=0.000138579 proj:cam3-tag:1,t:175362:err=0.265501
175.379060825 82.5335 rpp:cam:cam0,t:175379:err=0.00280188 proj:cam0-tag:2,t:175379:err=2.45375 proj:cam0-tag:8,t:175379:err=56.173 proj:cam0-tag:14,t:175379:err=3.26734 rpp:cam:cam1,t:175379:err=3.21039e-05 proj:cam1-tag:4,t:175379:err=1.36299 rpp:cam:cam2,t:175379:err=0.00241882 proj:cam2-tag:8,t:175379:err=9.0026 proj:cam2-tag:12,t:175379:err=10.0083 rpp:cam:cam3,t:175379:err=0.000135325 proj:cam3-tag:1,t:175379:err=0.260205
175.395777738 81.7345 rpp:cam:cam0,t:175395:err=0.00273268 proj:cam0-tag:2,t:175395:err=2.47244 proj:cam0-tag:8,t:175395:err=55.5542 proj:cam0-tag:14,t:175395:err=3.20153 rpp:cam:cam1,t:175395:err=3.24528e-05 proj:cam1-tag:4,t:175395:err=1.35136 rpp:cam:cam2,t:175395:err=0.00243049 proj:cam2-tag:8,t:175395:err=8.6684 proj:cam2-tag:12,t:175395:err=10.2178 rpp:cam:cam3,t:175395:err=0.000131004 proj:cam3-tag:1,t:175395:err=0.263534
175.412524988 81.3334 rpp:cam:cam0,t:175412:err=0.00281081 proj:cam0-tag:2,t:175412:err=2.50365 proj:cam0-tag:8,t:175412:err=55.2535 proj:cam0-tag:14,t:175412:err=3.22753 rpp:cam:cam1,t:175412:err=2.58852e-05 proj:cam1-tag:4,t:175412:err=1.32082 rpp:cam:cam2,t:175412:err=0.00254095 proj:cam2-tag:8,t:175412:err=8.75199 proj:cam2-tag:12,t:175412:err=10.0334 rpp:cam:cam3,t:175412:err=0.00013457 proj:cam3-tag:1,t:175412:err=0.23697
175.429163501 81.3502 rpp:cam:cam0,t:175429:err=0.00286001 proj:cam0-tag:2,t:175429:err=2.47296 proj:cam0-tag:8,t:175429:err=55.3436 proj:cam0-tag:14,t:175429:err=3.13866 rpp:cam:cam1,t:175429:err=3.11534e-05 proj:cam1-tag:4,t:175429:err=1.34067 rpp:cam:cam2,t:175429:err=0.00254575 proj:cam2-tag:8,t:175429:err=8.57861 proj:cam2-tag:12,t:175429:err=10.2331 rpp:cam:cam3,t:175429:err=0.000134641 proj:cam3-tag:1,t:175429:err=0.237019
175.445774014 81.3293 rpp:cam:cam0,t:175445:err=0.00282315 proj:cam0-tag:2,t:175445:err=2.46256 proj:cam0-tag:8,t:175445:err=55.4623 proj:cam0-tag:14,t:175445:err=3.17476 rpp:cam:cam1,t:175445:err=2.98319e-05 proj:cam1-tag:4,t:175445:err=1.34202 rpp:cam:cam2,t:175445:err=0.00253141 proj:cam2-tag:8,t:175445:err=8.91266 proj:cam2-tag:12,t:175445:err=9.74347 rpp:cam:cam3,t:175445:err=0.000131152 proj:cam3-tag:1,t:175445:err=0.226042
175.462559504 80.9082 rpp:cam:cam0,t:175462:err=0.0027739 proj:cam0-tag:2,t:175462:err=2.51245 proj:cam0-tag:8,t:175462:err=55.3517 proj:cam0-tag:14,t:175462:err=3.20425 rpp:cam:cam1,t:175462:err=2.8292e-05 proj:cam1-tag:4,t:175462:err=1.38836 rpp:cam:cam2,t:175462:err=0.00248643 proj:cam2-tag:8,t:175462:err=8.67112 proj:cam2-tag:12,t:175462:err=9.55265 rpp:cam:cam3,t:175462:err=0.00012899 proj:cam3-tag:1,t:175462:err=0.222253
175.479270338 81.1559 rpp:cam:cam0,t:175479:err=0.00282928 proj:cam0-tag:2,t:175479:err=2.48861 proj:cam0-tag:8,t:175479:err=55.2734 proj:cam0-tag:14,t:175479:err=3.23427 rpp:cam:cam1,t:175479:err=3.29598e-05 proj:cam1-tag:4,t:175479:err=1.37358 rpp:cam:cam2,t:175479:err=0.00247953 proj:cam2-tag:8,t:175479:err=8.82249 proj:cam2-tag:12,t:175479:err=9.71655 rpp:cam:cam3,t:175479:err=0.000134814 proj:cam3-tag:1,t:175479:err=0.241475
175.495839378 81.3204 rpp:cam:cam0,t:175495:err=0.00280243 proj:cam0-tag:2,t:175495:err=2.50171 proj:cam0-tag:8,t:175495:err=55.6166 proj:cam0-tag:14,t:175495:err=3.16396 rpp:cam:cam1,t:175495:err=3.03664e-05 proj:cam1-tag:4,t:175495:err=1.36693 rpp:cam:cam2,t:175495:err=0.00247096 proj:cam2-tag:8,t:175495:err=8.81719 proj:cam2-tag:12,t:175495:err=9.61028 rpp:cam:cam3,t:175495:err=0.000134907 proj:cam3-tag:1,t:175495:err=0.238261
175.512624773 81.1867 rpp:cam:cam0,t:175512:err=0.00286919 proj:cam0-tag:2,t:175512:err=2.46542 proj:cam0-tag:8,t:175512:err=55.5261 proj:cam0-tag:14,t:175512:err=3.2535 rpp:cam:cam1,t:175512:err=2.88142e-05 proj:cam1-tag:4,t:175512:err=1.35788 rpp:cam:cam2,t:175512:err=0.00259359 proj:cam2-tag:8,t:175512:err=8.63109 proj:cam2-tag:12,t:175512:err=9.7069 rpp:cam:cam3,t:175512:err=0.000131763 proj:cam3-tag:1,t:175512:err=0.240195
175.529272662 81.447 rpp:cam:cam0,t:175529:err=0.00293334 proj:cam0-tag:2,t:175529:err=2.47041 proj:cam0-tag:8,t:175529:err=55.3497 proj:cam0-tag:14,t:175529:err=3.22101 rpp:cam:cam1,t:175529:err=2.63852e-05 proj:cam1-tag:4,t:175529:err=1.33346 rpp:cam:cam2,t:175529:err=0.00263099 proj:cam2-tag:8,t:175529:err=8.91122 proj:cam2-tag:12,t:175529:err=9.91627 rpp:cam:cam3,t:175529:err=0.000137853 proj:cam3-tag:1,t:175529:err=0.239203
175.546002152 82.0634 rpp:cam:cam0,t:175546:err=0.00286719 proj:cam0-tag:2,t:175546:err=2.50558 proj:cam0-tag:8,t:175546:err=55.5718 proj:cam0-tag:14,t:175546:err=3.22771 rpp:cam:cam1,t:175546:err=3.01114e-05 proj:cam1-tag:4,t:175546:err=1.38069 rpp:cam:cam2,t:175546:err=0.00252603 proj:cam2-tag:8,t:175546:err=9.02812 proj:cam2-tag:12,t:175546:err=10.1008 rpp:cam:cam3,t:175546:err=0.000131636 proj:cam3-tag:1,t:175546:err=0.243155
175.562660249 81.5878 rpp:cam:cam0,t:175562:err=0.00284467 proj:cam0-tag:2,t:175562:err=2.48678 proj:cam0-tag:8,t:175562:err=55.6472 proj:cam0-tag:14,t:175562:err=3.24182 rpp:cam:cam1,t:175562:err=2.89822e-05 proj:cam1-tag:4,t:175562:err=1.34556 rpp:cam:cam2,t:175562:err=0.00254938 proj:cam2-tag:8,t:175562:err=8.99058 proj:cam2-tag:12,t:175562:err=9.63318 rpp:cam:cam3,t:175562:err=0.000131531 proj:cam3-tag:1,t:175562:err=0.237126
175.579334218 81.4836 rpp:cam:cam0,t:175579:err=0.00289201 proj:cam0-tag:2,t:175579:err=2.42535 proj:cam0-tag:8,t:175579:err=55.3029 proj:cam0-tag:14,t:175579:err=3.20617 rpp:cam:cam1,t:175579:err=2.38066e-05 proj:cam1-tag:4,t:175579:err=1.33148 rpp:cam:cam2,t:175579:err=0.00256217 proj:cam2-tag:8,t:175579:err=8.77941 proj:cam2-tag:12,t:175579:err=10.1928 rpp:cam:cam3,t:175579:err=0.000135102 proj:cam3-tag:1,t:175579:err=0.239877
175.596246942 81.4139 rpp:cam:cam0,t:175596:err=0.00275099 proj:cam0-tag:2,t:175596:err=2.48467 proj:cam0-tag:8,t:175596:err=55.509 proj:cam0-tag:14,t:175596:err=3.27798 rpp:cam:cam1,t:175596:err=2.7866e-05 proj:cam1-tag:4,t:175596:err=1.2895 rpp:cam:cam2,t:175596:err=0.00243986 proj:cam2-tag:8,t:175596:err=8.56028 proj:cam2-tag:12,t:175596:err=10.0581 rpp:cam:cam3,t:175596:err=0.000132223 proj:cam3-tag:1,t:175596:err=0.229095
175.612659020 80.8947 rpp:cam:cam0,t:175612:err=0.00277387 proj:cam0-tag:2,t:175612:err=2.50156 proj:cam0-tag:8,t:175612:err=55.0297 proj:cam0-tag:14,t:175612:err=3.23294 rpp:cam:cam1,t:175612:err=2.51712e-05 proj:cam1-tag:4,t:175612:err=1.38435 rpp:cam:cam2,t:175612:err=0.00247087 proj:cam2-tag:8,t:175612:err=8.56113 proj:cam2-tag:12,t:175612:err=9.9545 rpp:cam:cam3,t:175612:err=0.00012741 proj:cam3-tag:1,t:175612:err=0.225137
175.629250429 80.8448 rpp:cam:cam0,t:175629:err=0.00288181 proj:cam0-tag:2,t:175629:err=2.51477 proj:cam0-tag:8,t:175629:err=55.2409 proj:cam0-tag:14,t:175629:err=3.1545 rpp:cam:cam1,t:175629:err=2.01936e-05 proj:cam1-tag:4,t:175629:err=1.36403 rpp:cam:cam2,t:175629:err=0.00262771 proj:cam2-tag:8,t:175629:err=8.73286 proj:cam2-tag:12,t:175629:err=9.59052 rpp:cam:cam3,t:175629:err=0.000134202 proj:cam3-tag:1,t:175629:err=0.241503
175.645843213 81.6183 rpp:cam:cam0,t:175645:err=0.00275665 proj:cam0-tag:2,t:175645:err=2.47219 proj:cam0-tag:8,t:175645:err=55.5114 proj:cam0-tag:14,t:175645:err=3.33624 rpp:cam:cam1,t:175645:err=3.02755e-05 proj:cam1-tag:4,t:175645:err=1.35945 rpp:cam:cam2,t:175645:err=0.00242547 proj:cam2-tag:8,t:175645:err=8.59821 proj:cam2-tag:12,t:175645:err=10.1151 rpp:cam:cam3,t:175645:err=0.000128855 proj:cam3-tag:1,t:175645:err=0.220341
175.662800194 81.0332 rpp:cam:cam0,t:175662:err=0.00286392 proj:cam0-tag:2,t:175662:err=2.46626 proj:cam0-tag:8,t:175662:err=55.2553 proj:cam0-tag:14,t:175662:err=3.19009 rpp:cam:cam1,t:175662:err=2.84557e-05 proj:cam1-tag:4,t:175662:err=1.35881 rpp:cam:cam2,t:175662:err=0.00253707 proj:cam2-tag:8,t:175662:err=8.68889 proj:cam2-tag:12,t:175662:err=9.82711 rpp:cam:cam3,t:175662:err=0.000139153 proj:cam3-tag:1,t:175662:err=0.241204
175.679234832 81.5863 rpp:cam:cam0,t:175679:err=0.00285835 proj:cam0-tag:2,t:175679:err=2.46707 proj:cam0-tag:8,t:175679:err=55.4365 proj:cam0-tag:14,t:175679:err=3.28672 rpp:cam:cam1,t:175679:err=2.69084e-05 proj:cam1-tag:4,t:175679:err=1.34288 rpp:cam:cam2,t:175679:err=0.00259307 proj:cam2-tag:8,t:175679:err=8.71726 proj:cam2-tag:12,t:175679:err=10.1019 rpp:cam:cam3,t:175679:err=0.000136289 proj:cam3-tag:1,t:175679:err=0.22838
175.696138180 81.2738 rpp:cam:cam0,t:175696:err=0.0028581 proj:cam0-tag:2,t:175696:err=2.53072 proj:cam0-tag:8,t:175696:err=54.939 proj:cam0-tag:14,t:175696:err=3.30578 rpp:cam:cam1,t:175696:err=2.59289e-05 proj:cam1-tag:4,t:175696:err=1.32604 rpp:cam:cam2,t:175696:err=0.00255747 proj:cam2-tag:8,t:175696:err=8.90129 proj:cam2-tag:12,t:175696:err=10.0201 rpp:cam:cam3,t:175696:err=0.000133686 proj:cam3-tag:1,t:175696:err=0.245261
175.712739316 81.1149 rpp:cam:cam0,t:175712:err=0.00275742 proj:cam0-tag:2,t:175712:err=2.47103 proj:cam0-tag:8,t:175712:err=55.2381 proj:cam0-tag:14,t:175712:err=3.22388 rpp:cam:cam1,t:175712:err=2.21544e-05 proj:cam1-tag:4,t:175712:err=1.30675 rpp:cam:cam2,t:175712:err=0.00249042 proj:cam2-tag:8,t:175712:err=8.55048 proj:cam2-tag:12,t:175712:err=10.0885 rpp:cam:cam3,t:175712:err=0.00012942 proj:cam3-tag:1,t:175712:err=0.230831
175.729428326 81.3037 rpp:cam:cam0,t:175729:err=0.00286238 proj:cam0-tag:2,t:175729:err=2.46076 proj:cam0-tag:8,t:175729:err=55.2254 proj:cam0-tag:14,t:175729:err=3.30107 rpp:cam:cam1,t:175729:err=2.63989e-05 proj:cam1-tag:4,t:175729:err=1.3763 rpp:cam:cam2,t:175729:err=0.00261708 proj:cam2-tag:8,t:175729:err=8.67924 proj:cam2-tag:12,t:175729:err=10.019 rpp:cam:cam3,t:175729:err=0.000138077 proj:cam3-tag:1,t:175729:err=0.23641
175.746367962 81.7842 rpp:cam:cam0,t:175746:err=0.00286609 proj:cam0-tag:2,t:175746:err=2.56293 proj:cam0-tag:8,t:175746:err=55.7904 proj:cam0-tag:14,t:175746:err=3.28017 rpp:cam:cam1,t:175746:err=3.09321e-05 proj:cam1-tag:4,t:175746:err=1.35923 rpp:cam:cam2,t:175746:err=0.00253466 proj:cam2-tag:8,t:175746:err=8.88834 proj:cam2-tag:12,t:175746:err=9.65774 rpp:cam:cam3,t:175746:err=0.000136772 proj:cam3-tag:1,t:175746:err=0.239782
175.762781128 81.2389 rpp:cam:cam0,t:175762:err=0.00281679 proj:cam0-tag:2,t:175762:err=2.45621 proj:cam0-tag:8,t:175762:err=55.0149 proj:cam0-tag:14,t:175762:err=3.25781 rpp:cam:cam1,t:175762:err=2.8032e-05 proj:cam1-tag:4,t:175762:err=1.36838 rpp:cam:cam2,t:175762:err=0.00255945 proj:cam2-tag:8,t:175762:err=8.86271 proj:cam2-tag:12,t:175762:err=10.0473 rpp:cam:cam3,t:175762:err=0.000128404 proj:cam3-tag:1,t:175762:err=0.226065
175.796512848 81.571 rpp:cam:cam0,t:175796:err=0.00286302 proj:cam0-tag:2,t:175796:err=2.58214 proj:cam0-tag:8,t:175796:err=55.198 proj:cam0-tag:14,t:175796:err=3.16984 rpp:cam:cam1,t:175796:err=2.46625e-05 proj:cam1-tag:4,t:175796:err=1.34942 rpp:cam:cam2,t:175796:err=0.00255968 proj:cam2-tag:8,t:175796:err=9.01059 proj:cam2-tag:12,t:175796:err=10.0233 rpp:cam:cam3,t:175796:err=0.000135463 proj:cam3-tag:1,t:175796:err=0.232097
175.813177473 81.2427 rpp:cam:cam0,t:175813:err=0.00284929 proj:cam0-tag:2,t:175813:err=2.42191 proj:cam0-tag:8,t:175813:err=55.3036 proj:cam0-tag:14,t:175813:err=3.25555 rpp:cam:cam1,t:175813:err=2.71521e-05 proj:cam1-tag:4,t:175813:err=1.33996 rpp:cam:cam2,t:175813:err=0.00254235 proj:cam2-tag:8,t:175813:err=8.83883 proj:cam2-tag:12,t:175813:err=9.83146 rpp:cam:cam3,t:175813:err=0.00014013 proj:cam3-tag:1,t:175813:err=0.245868
175.829780625 81.7478 rpp:cam:cam0,t:175829:err=0.00272328 proj:cam0-tag:2,t:175829:err=2.50316 proj:cam0-tag:8,t:175829:err=55.8656 proj:cam0-tag:14,t:175829:err=3.2584 rpp:cam:cam1,t:175829:err=2.66681e-05 proj:cam1-tag:4,t:175829:err=1.36668 rpp:cam:cam2,t:175829:err=0.00244367 proj:cam2-tag:8,t:175829:err=8.61099 proj:cam2-tag:12,t:175829:err=9.90422 rpp:cam:cam3,t:175829:err=0.000129416 proj:cam3-tag:1,t:175829:err=0.233391
175.846239424 81.6341 rpp:cam:cam0,t:175846:err=0.00267133 proj:cam0-tag:2,t:175846:err=2.4489 proj:cam0-tag:8,t:175846:err=55.8009 proj:cam0-tag:14,t:175846:err=3.25497 rpp:cam:cam1,t:175846:err=3.21224e-05 proj:cam1-tag:4,t:175846:err=1.35619 rpp:cam:cam2,t:175846:err=0.00235458 proj:cam2-tag:8,t:175846:err=8.92782 proj:cam2-tag:12,t:175846:err=9.58922 rpp:cam:cam3,t:175846:err=0.000135827 proj:cam3-tag:1,t:175846:err=0.250944
175.862900849 81.2866 rpp:cam:cam0,t:175862:err=0.00268027 proj:cam0-tag:2,t:175862:err=2.41237 proj:cam0-tag:8,t:175862:err=55.5863 proj:cam0-tag:14,t:175862:err=3.24766 rpp:cam:cam1,t:175862:err=2.87152e-05 proj:cam1-tag:4,t:175862:err=1.35163 rpp:cam:cam2,t:175862:err=0.00237925 proj:cam2-tag:8,t:175862:err=8.66048 proj:cam2-tag:12,t:175862:err=9.77292 rpp:cam:cam3,t:175862:err=0.00012963 proj:cam3-tag:1,t:175862:err=0.250082
175.879491041 81.9193 rpp:cam:cam0,t:175879:err=0.00264143 proj:cam0-tag:2,t:175879:err=2.51108 proj:cam0-tag:8,t:175879:err=55.5029 proj:cam0-tag:14,t:175879:err=3.27741 rpp:cam:cam1,t:175879:err=3.82267e-05 proj:cam1-tag:4,t:175879:err=1.38404 rpp:cam:cam2,t:175879:err=0.00225525 proj:cam2-tag:8,t:175879:err=8.65069 proj:cam2-tag:12,t:175879:err=10.3307 rpp:cam:cam3,t:175879:err=0.000135064 proj:cam3-tag:1,t:175879:err=0.257448
175.896177299 80.9894 rpp:cam:cam0,t:175896:err=0.00263832 proj:cam0-tag:2,t:175896:err=2.4615 proj:cam0-tag:8,t:175896:err=55.397 proj:cam0-tag:14,t:175896:err=3.27175 rpp:cam:cam1,t:175896:err=2.77403e-05 proj:cam1-tag:4,t:175896:err=1.38622 rpp:cam:cam2,t:175896:err=0.00233234 proj:cam2-tag:8,t:175896:err=8.55446 proj:cam2-tag:12,t:175896:err=9.65762 rpp:cam:cam3,t:175896:err=0.000132688 proj:cam3-tag:1,t:175896:err=0.255705
175.912738338 81.4955 rpp:cam:cam0,t:175912:err=0.00270872 proj:cam0-tag:2,t:175912:err=2.54796 proj:cam0-tag:8,t:175912:err=55.727 proj:cam0-tag:14,t:175912:err=3.25749 rpp:cam:cam1,t:175912:err=2.62821e-05 proj:cam1-tag:4,t:175912:err=1.3061 rpp:cam:cam2,t:175912:err=0.00236846 proj:cam2-tag:8,t:175912:err=8.82243 proj:cam2-tag:12,t:175912:err=9.58247 rpp:cam:cam3,t:175912:err=0.0001292 proj:cam3-tag:1,t:175912:err=0.246829
175.929736408 81.4153 rpp:cam:cam0,t:175929:err=0.00267653 proj:cam0-tag:2,t:175929:err=2.51048 proj:cam0-tag:8,t:175929:err=55.8224 proj:cam0-tag:14,t:175929:err=3.25745 rpp:cam:cam1,t:175929:err=2.88793e-05 proj:cam1-tag:4,t:175929:err=1.30445 rpp:cam:cam2,t:175929:err=0.00235819 proj:cam2-tag:8,t:175929:err=8.76455 proj:cam2-tag:12,t:175929:err=9.49914 rpp:cam:cam3,t:175929:err=0.000133251 proj:cam3-tag:1,t:175929:err=0.25172
175.946158310 81.5444 rpp:cam:cam0,t:175946:err=0.00263476 proj:cam0-tag:2,t:175946:err=2.53995 proj:cam0-tag:8,t:175946:err=55.9717 proj:cam0-tag:14,t:175946:err=3.27449 rpp:cam:cam1,t:175946:err=2.56596e-05 proj:cam1-tag:4,t:175946:err=1.33246 rpp:cam:cam2,t:175946:err=0.00229754 proj:cam2-tag:8,t:175946:err=8.6354 proj:cam2-tag:12,t:175946:err=9.55056 rpp:cam:cam3,t:175946:err=0.000126395 proj:cam3-tag:1,t:175946:err=0.234811
175.962860887 81.3131 rpp:cam:cam0,t:175962:err=0.00273466 proj:cam0-tag:2,t:175962:err=2.53058 proj:cam0-tag:8,t:175962:err=55.9519 proj:cam0-tag:14,t:175962:err=3.27598 rpp:cam:cam1,t:175962:err=3.21243e-05 proj:cam1-tag:4,t:175962:err=1.35489 rpp:cam:cam2,t:175962:err=0.00241354 proj:cam2-tag:8,t:175962:err=8.54997 proj:cam2-tag:12,t:175962:err=9.38162 rpp:cam:cam3,t:175962:err=0.000137723 proj:cam3-tag:1,t:175962:err=0.262929
175.980126416 81.9592 rpp:cam:cam0,t:175980:err=0.00265122 proj:cam0-tag:2,t:175980:err=2.55584 proj:cam0-tag:8,t:175980:err=55.6884 proj:cam0-tag:14,t:175980:err=3.28519 rpp:cam:cam1,t:175980:err=3.16065e-05 proj:cam1-tag:4,t:175980:err=1.37153 rpp:cam:cam2,t:175980:err=0.00229497 proj:cam2-tag:8,t:175980:err=8.76913 proj:cam2-tag:12,t:175980:err=10.0234 rpp:cam:cam3,t:175980:err=0.000130191 proj:cam3-tag:1,t:175980:err=0.260645
